party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
AITC,Assam,Nowgong,24-04-2014,dipakkumarborah,50,Male,Post Graduate,GEN,627023,0,#0C6965,All India Trinamool Congress
IND,Karnataka,Davanagere,17-04-2014,ksyedzabiulla,59,Male,12th,GEN,627000,0,,Independent
IND,Madhya Pradesh,Indore,24-04-2014,praveenkumarajmerajain,53,Male,Post Graduate,GEN,624098,0,,Independent
AAP,Bihar,Karakat,10-04-2014,ghulamkundanam,43,Male,Graduate Professional,GEN,623000,1,,Aam Aadmi Party
AAP,Madhya Pradesh,Dewas,24-04-2014,sujeetsangte,43,Male,12th,GEN,622739,0,,Aam Aadmi Party
IND,Andhra Pradesh,Peddapalle,30-04-2014,gorreramesh,47,Male,Post Graduate,GEN,621500,0,,Independent
IND,West Bengal,Basirhat,12-05-2014,mdhafiz,44,Male,5th,GEN,620248,0,,Independent
IND,Tamil Nadu,Ramanathapuram,24-04-2014,ayyappans,52,Male,Not Given,GEN,620000,0,,Independent
IND,Madhya Pradesh,Jabalpur,10-04-2014,drdhaiaksharrakeshsonkar,45,Male,Graduate,GEN,620000,0,,Independent
IND,Maharashtra,Amravati,10-04-2014,vishwanathgotujijamnekar,66,Male,Graduate Professional,GEN,620000,0,,Independent
IND,National Capital Territory Of Delhi,North West Delhi,10-04-2014,shailenderkumar,34,Male,Graduate,GEN,620000,0,,Independent
IND,Gujarat,Junagadh,30-04-2014,harilalranchodbhaichauhan,67,Male,Graduate Professional,GEN,619375,0,,Independent
IND,Punjab,Firozpur,30-04-2014,gurjantsingh,58,Male,Literate,GEN,618766,0,,Independent
IND,Karnataka,Shimoga,17-04-2014,ssatishsalian,46,Male,12th,GEN,617300,0,,Independent
IND,Uttar Pradesh,Misrikh,30-04-2014,swadeshkumar,46,Male,12th,GEN,616631,0,,Independent
IND,Kerala,Kasaragod,10-04-2014,pkraman,54,Male,10th,GEN,616200,2,,Independent
IND,Punjab,Khadoor Sahib,30-04-2014,sukhdevsinghchohan,0,Male,8th,GEN,615500,0,,Independent
IND,Maharashtra,Aurangabad,24-04-2014,bansodeudhavgovardhan,31,Male,Graduate,GEN,615000,0,,Independent
IND,Tamil Nadu,Tenkasi,24-04-2014,muneeswaran,39,Male,8th,GEN,613900,0,,Independent
IND,Maharashtra,Kalyan,24-04-2014,prakashshamraotelgote,43,Male,10th,GEN,612819,0,,Independent
IND,Andhra Pradesh,Araku,07-05-2014,sankararaovanugu,39,Male,Doctorate,GEN,612528,0,,Independent
IND,Haryana,Sonipat,10-04-2014,jaswant,51,Male,10th,GEN,612000,0,,Independent
IND,Uttar Pradesh,Ghazipur,12-05-2014,kuber,53,Male,8th,GEN,611269,0,,Independent
IND,Rajasthan,Bikaner,17-04-2014,jagdishkumar,37,Male,8th,GEN,608500,0,,Independent
IND,Uttar Pradesh,Bulandshahr,10-04-2014,harveer,40,Male,12th,GEN,608000,0,,Independent
IND,Maharashtra,Nagpur,10-04-2014,dilipnarayan,55,Male,Others,GEN,607658,0,,Independent
IND,Tamil Nadu,Tenkasi,24-04-2014,manmathan-m,60,Male,8th,GEN,607100,0,,Independent
IND,Tamil Nadu,Virudhunagar,24-04-2014,mammathan-m,60,Male,8th,GEN,607100,0,,Independent
IND,Tamil Nadu,Namakkal,24-04-2014,ramasamyp,49,Male,12th,GEN,605332,0,,Independent
AITC,Assam,Kaliabor,07-04-2014,samsulalam,32,Male,Graduate,GEN,605000,0,#0C6965,All India Trinamool Congress
IND,Tamil Nadu,Sivaganga,24-04-2014,karthikarajant,29,Male,10th,GEN,603600,0,,Independent
IND,National Capital Territory Of Delhi,New Delhi,10-04-2014,rubinakhan,27,Female,Graduate,GEN,602439,0,,Independent
IND,Uttar Pradesh,Nagina,17-04-2014,asarpatsingh,46,Male,12th,GEN,600528,0,,Independent
IND,Uttar Pradesh,Lucknow,30-04-2014,rajeevranjantiwari,33,Male,Graduate Professional,GEN,600151,0,,Independent
IND,Tamil Nadu,Kanniyakumari,24-04-2014,nallathampyc,65,Male,8th,GEN,600005,0,,Independent
IND,Punjab,Bathinda,30-04-2014,bhupeshkumar,36,Male,Graduate Professional,GEN,600000,0,,Independent
IND,Assam,Karimganj,12-04-2014,mohanandadas,50,Male,10th,GEN,600000,0,,Independent
IND,Maharashtra,Wardha,10-04-2014,sachinpandurangjirautaliasgurubhau,36,Male,12th,GEN,600000,0,,Independent
NCP,Andhra Pradesh,Karimnagar,30-04-2014,burlaravi,42,Male,10th,GEN,595000,0,,Nationalist Congress Party
IND,Uttarakhand,Almora,07-05-2014,bansiram,59,Male,Literate,GEN,594500,0,,Independent
AAP,Uttar Pradesh,Shahjahanpur,17-04-2014,reetasinghurfreetabharti,40,Male,Graduate,GEN,591671,0,,Aam Aadmi Party
SHS,Uttar Pradesh,Firozabad,24-04-2014,jayprakash,48,Male,Graduate,GEN,590800,0,#F05A00,Shivsena
JMM,West Bengal,Jhargram,07-05-2014,buddhadebmandi,49,Male,10th,GEN,590000,0,,Jharkhand Mukti Morcha
IND,Punjab,Firozpur,30-04-2014,rajgill,42,Male,8th,GEN,590000,0,,Independent
IND,Uttarakhand,Hardwar,07-05-2014,rakesh,53,Male,Post Graduate,GEN,588796,0,,Independent
AAP,Uttar Pradesh,Ambedkar Nagar,07-05-2014,brijeshkumar,35,Male,Post Graduate,GEN,587612,1,,Aam Aadmi Party
IND,Tamil Nadu,Chennai North,24-04-2014,srinivasanj,36,Male,Graduate Professional,GEN,585030,0,,Independent
IND,Maharashtra,Mumbai South,24-04-2014,omrajlokishrathod,37,Male,Graduate Professional,GEN,585000,0,,Independent
IND,Tamil Nadu,Karur,24-04-2014,mahendran-t,38,Male,12th,GEN,584794,0,,Independent
IND,Chhattisgarh,Raipur,24-04-2014,abdulsafiqkhan,35,Male,10th,GEN,582300,0,,Independent
IND,Chhattisgarh,Raipur,24-04-2014,tarzanjangde,0,Male,12th,GEN,580000,0,,Independent
IND,Maharashtra,Gadchiroli-Chimur,10-04-2014,dandekarbaburaolaxman,67,Male,12th,GEN,580000,0,,Independent
BJP,Orissa,Kandhamal,10-04-2014,sukantakumarpanigrahi,47,Male,Post Graduate,GEN,580000,2,#FB7B0D,Bharatiya Janata Party
IND,Bihar,Katihar,24-04-2014,kanhaimandal,38,Male,8th,GEN,579677,0,,Independent
AAP,Uttar Pradesh,Sant Kabir Nagar,07-05-2014,aaftabalamkhan,27,Male,Graduate Professional,GEN,578842,0,,Aam Aadmi Party
IND,West Bengal,Tamluk,12-05-2014,kalisankarjana,33,Male,12th,GEN,578056,0,,Independent
IND,Tamil Nadu,Kancheepuram,24-04-2014,sathiyanathan-n,51,Male,5th,GEN,578000,0,,Independent
IND,Tamil Nadu,Arani,24-04-2014,amahadevan,31,Male,12th,GEN,577000,0,,Independent
IND,Tamil Nadu,Chennai North,24-04-2014,devarajg,32,Male,Graduate Professional,GEN,577000,0,,Independent
AITC,Jharkhand,Dumka,24-04-2014,babulalsoren,57,Male,Literate,GEN,575800,0,#0C6965,All India Trinamool Congress
IND,Tamil Nadu,Kallakurichi,24-04-2014,slakshmanan,60,Male,8th,GEN,575000,0,,Independent
IND,Uttar Pradesh,Hathras,24-04-2014,rajaram,61,Male,Graduate,GEN,575000,0,,Independent
IND,Rajasthan,Ganganagar,17-04-2014,balrajbawari,30,Male,10th,GEN,573000,0,,Independent
IND,Punjab,Jalandhar,30-04-2014,kksabharwal,44,Male,10th,GEN,570508,0,,Independent
IND,Tamil Nadu,Tiruchirappalli,24-04-2014,arunachalama,40,Male,Post Graduate,GEN,570200,0,,Independent
IND,Uttar Pradesh,Ballia,12-05-2014,manoj,45,Male,Post Graduate,GEN,570088,0,,Independent
JDU,Uttar Pradesh,Kushi Nagar,12-05-2014,rampratap,37,Male,5th,GEN,570000,0,#8064a2,Janata Dal  (United)
INC,Gujarat,Navsari,30-04-2014,maksudmirza,40,Male,10th,GEN,570000,0,#019733,Indian National Congress
IND,Tamil Nadu,Ramanathapuram,24-04-2014,gopalr,33,Male,Graduate,GEN,570000,0,,Independent
IND,Orissa,Balasore,17-04-2014,sarojkumarpanda,52,Male,Graduate,GEN,570000,0,,Independent
IND,Kerala,Thrissur,10-04-2014,jasminsha,29,Male,Others,GEN,569648,2,,Independent
IND,Rajasthan,Barmer,17-04-2014,babulal,44,Male,8th,GEN,569104,0,,Independent
IND,Maharashtra,Nanded,17-04-2014,mohdmaroofabrauf,33,Male,12th,GEN,568655,0,,Independent
IND,Gujarat,Bharuch,30-04-2014,bhurashabbirbhaivalibhai,56,Male,10th,GEN,567500,0,,Independent
AIUDF,Assam,Lakhimpur,07-04-2014,mamunimdadulhaquechawdhury,34,Male,Post Graduate,GEN,567483,0,,All India United Democratic Front
IND,Tamil Nadu,Kallakurichi,24-04-2014,mpmannan,53,Male,Post Graduate,GEN,567061,0,,Independent
IND,Rajasthan,Bharatpur,24-04-2014,sheetal,25,Female,Post Graduate,GEN,566241,0,,Independent
IND,Maharashtra,Chandrapur,10-04-2014,pramodmangarujisorte,44,Male,12th,GEN,566100,0,,Independent
IND,Jharkhand,Rajmahal,24-04-2014,suraesoren,33,Male,Doctorate,GEN,566012,0,,Independent
IND,Gujarat,Jamnagar,30-04-2014,sodhasalimbhainurmamadbhai,50,Male,5th,GEN,565130,0,,Independent
IND,Bihar,Khagaria,30-04-2014,umeshchandrabharati,53,Female,Literate,GEN,565000,0,,Independent
IND,Assam,Gauhati,24-04-2014,benedictalokareng,68,Male,10th,GEN,565000,1,,Independent
IND,Madhya Pradesh,Guna,17-04-2014,girrajyadav,30,Male,10th,GEN,565000,6,,Independent
IND,Kerala,Alathur,10-04-2014,abiju,36,Male,8th,GEN,564425,0,,Independent
IND,Andhra Pradesh,Nalgonda,30-04-2014,marrinehemiah,60,Male,12th,GEN,564168,0,,Independent
IND,Haryana,Kurukshetra,10-04-2014,rajkumarsaini,37,Male,5th,GEN,562200,0,,Independent
IND,Uttar Pradesh,Baghpat,10-04-2014,ruksana,28,Female,Illiterate,GEN,562000,0,,Independent
IND,Gujarat,Panchmahal,30-04-2014,vankarmanilalbhanabhai,42,Male,8th,GEN,560000,0,,Independent
IND,Jharkhand,Dhanbad,24-04-2014,vijaykantmishra,31,Male,12th,GEN,560000,0,,Independent
IND,Tamil Nadu,Kanniyakumari,24-04-2014,saraswathis,50,Female,10th,GEN,560000,0,,Independent
IND,Bihar,Sasaram,10-04-2014,rajnarainrao,77,Male,12th,GEN,558000,0,,Independent
IND,Maharashtra,Hatkanangle,17-04-2014,manearvindbhiva,48,Male,12th,GEN,557300,0,,Independent
IND,Tamil Nadu,Virudhunagar,24-04-2014,kannan,38,Male,5th,GEN,555776,0,,Independent
IND,Bihar,Jhanjharpur,30-04-2014,ibrahimabbasi,36,Male,5th,GEN,555764,0,,Independent
IND,Gujarat,Surat,30-04-2014,mukeshbhailavjibhaiambaliya,36,Male,Literate,GEN,555566,0,,Independent
IND,Tamil Nadu,Mayiladuthurai,24-04-2014,raguramana,33,Male,10th,GEN,552881,0,,Independent
IND,Tamil Nadu,Chennai South,24-04-2014,airudayadass,53,Male,Graduate,GEN,551640,0,,Independent
