state,constituency,poll_date,name,party,age,gender,education,category,assets,criminal_cases,color
Gujarat,Navsari,30-04-2014,Patil Chandrakant Raghunath,BJP,59,Male,10th,GEN,744761133,7,#FB7B0D
Karnataka,Tumkur,17-04-2014,Nilufar Jamani,BSP,41,Female,Graduate,GEN,740837798,0,#77968E
Andhra Pradesh,Mahabubabad,30-04-2014,P Balram,INC,49,Male,Post Graduate,GEN,737144941,1,#019733
Andhra Pradesh,Ongole,07-05-2014,Yarram Venkata Subbareddy,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,53,Male,Post Graduate,GEN,735451548,0,
Rajasthan,Tonk-sawai Madhopur,24-04-2014,Sukhbir Singh Jaunapuria,BJP,56,Male,12th,GEN,714124612,0,#FB7B0D
Uttar Pradesh,Azamgarh,12-05-2014,Shah Alam Alias Guddu Jamali,BSP,41,Male,Post Graduate,GEN,702918903,0,#77968E
Karnataka,Tumkur,17-04-2014,Akrishnappa,JDS,68,Male,Graduate,GEN,701833242,0,#8064a2
Madhya Pradesh,Indore,24-04-2014,Satyanarayan Patel,INC,46,Male,12th,GEN,699196061,0,#019733
Haryana,Karnal,10-04-2014,Ashwini Kumar,BJP,57,Male,Graduate,GEN,698638135,6,#FB7B0D
Assam,Barpeta,24-04-2014,Siraj Uddin Ajmal,AIUDF,57,Male,Graduate,GEN,670806607,0,
Punjab,Gurdaspur,30-04-2014,Vinod Khanna,BJP,68,Male,Graduate,GEN,669343376,0,#FB7B0D
Andhra Pradesh,Bhongir,30-04-2014,Komatireddy Rajgopal Reddy,INC,46,Male,Graduate,GEN,667095133,0,#019733
Maharashtra,Maval,17-04-2014,Barne Shrirang Chandu,SHS,50,Male,8th,GEN,665047926,2,#F05A00
Tamil Nadu,Coimbatore,24-04-2014,Radhakrishnan -cp,BJP,56,Male,Graduate,GEN,663198857,0,#FB7B0D
Orissa,Bhubaneswar,17-04-2014,Sunjoy Hans,AAMA ODISHA PARTY,50,Male,10th,GEN,659112136,0,
Rajasthan,Jalore,17-04-2014,Anjana Udai Lal,INC,64,Male,12th,GEN,658610000,0,#019733
Andhra Pradesh,Visakhapatnam,07-05-2014,Gedela Krishna Rao,IND,60,Male,Post Graduate,GEN,658118000,0,
Maharashtra,Mumbai North Central,24-04-2014,Dutt Priya Sunil,INC,48,Female,Graduate,GEN,655093802,0,#019733
Tamil Nadu,Theni,24-04-2014,Aaron Rashid -jm,INC,65,Male,12th,GEN,649632943,0,#019733
West Bengal,Raiganj,24-04-2014,Sudiip Ranjan Sen,SP,51,Male,Others,GEN,649554210,0,#B15928
Karnataka,Davanagere,17-04-2014,S S Mallikarjun,INC,46,Male,Graduate,GEN,645637999,6,#019733
Maharashtra,Mumbai North Central,24-04-2014,Abu Farhan Azmi,SP,33,Male,12th,GEN,637688791,0,#B15928
