AC_NO,AC_NAME,NAME,#,ST_CD,ST_NAME,VOTES,YEAR,polled_votes,vote_percent,PARTY,a_constituency,District,p_constituency,Male_voters,Female_voters,Other_voters,Region
3,Athani ,PAIGAMBAR GUDUSAB KOTTALAGI,12,S10,Karnataka,104,2023,192279,0.05,IND,Athani,Belgaum,Chikkodi,111195,103493,0,Mumbai Karnataka
3,Athani ,RAVI SHIVAPPA PADASALAGI,11,S10,Karnataka,110,2023,192279,0.06,IND,Athani,Belgaum,Chikkodi,111195,103493,0,Mumbai Karnataka
3,Athani ,DAVARI RAJU.  PARASHURAM,8,S10,Karnataka,250,2023,192279,0.13,IND,Athani,Belgaum,Chikkodi,111195,103493,0,Mumbai Karnataka
3,Athani ,RAJESH. BABU. SHINGE,4,S10,Karnataka,1053,2023,192279,0.55,IND,Athani,Belgaum,Chikkodi,111195,103493,0,Mumbai Karnataka
3,Athani ,NOTA,5,S10,Karnataka,1037,2023,192279,0.54,NOTA,Athani,Belgaum,Chikkodi,111195,103493,0,Mumbai Karnataka
4,Kagwad ,BHARAMGOUDA ALAGOUDA KAGE,1,S10,Karnataka,83387,2023,162078,51.45,INC,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,MALLIKARJUN  SHRISHAIL  GUNJIGANVI,4,S10,Karnataka,887,2023,162078,0.55,JDS,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,RAJAK  DASTAGEERSAHEB   MULLA,7,S10,Karnataka,330,2023,162078,0.2,AAP,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,SHRIMANT  BALASAHEB  PATIL,2,S10,Karnataka,74560,2023,162078,46,BJP,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,SANJAY  SHANKAR  KAMBALE,5,S10,Karnataka,632,2023,162078,0.39,BSP,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,VINOD SUKHADEV NANGARE,11,S10,Karnataka,113,2023,162078,0.07,KRS,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,SATISH  BHUPAL  SANADI,12,S10,Karnataka,72,2023,162078,0.04,RSP,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,HANAMANT  BAHUSAB  PATIL,8,S10,Karnataka,275,2023,162078,0.17,UPP,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,CHIDANAND  KRISHNA  CHAVAN,6,S10,Karnataka,350,2023,162078,0.22,IND,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,SATTEPPA DASHARATH  KALELI,9,S10,Karnataka,259,2023,162078,0.16,IND,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,SADANAND B MAGADUM,10,S10,Karnataka,228,2023,162078,0.14,IND,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
4,Kagwad ,NOTA,3,S10,Karnataka,985,2023,162078,0.61,NOTA,Kagwad,Belgaum,Chikkodi,94848,87325,0,Mumbai Karnataka
5,Kudachi ,ANAND. V. MALAGI,3,S10,Karnataka,1566,2023,150040,1.04,JDS,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
5,Kudachi ,KADROLLI CHANDRAKANT,7,S10,Karnataka,369,2023,150040,0.25,BSP,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
5,Kudachi ,MAHENDRA. KALLAPPA. TAMMANNAVAR,1,S10,Karnataka,85321,2023,150040,56.87,INC,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
5,Kudachi ,P. RAJEEV,2,S10,Karnataka,60078,2023,150040,40.04,BJP,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
5,Kudachi ,C M KRISHNA,6,S10,Karnataka,609,2023,150040,0.41,APP,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
5,Kudachi ,SHREESHAIL. H. BHAJANTRI,4,S10,Karnataka,1240,2023,150040,0.83,KRPP,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
5,Kudachi ,YALLAPPA YAMANAPPA SHINGE,8,S10,Karnataka,214,2023,150040,0.14,IND,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
5,Kudachi ,NOTA,5,S10,Karnataka,643,2023,150040,0.43,NOTA,Kudachi,Belgaum,Chikkodi,93027,87460,22,Mumbai Karnataka
6,Raybag ,AIHOLE DURYODHAN MAHALINGAPPA,1,S10,Karnataka,57500,2023,165288,34.79,BJP,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,PRADEEPKUMAR R MALAGI,3,S10,Karnataka,25393,2023,165288,15.36,JDS,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,MAHAVEER LAXMAN MOHITE,4,S10,Karnataka,22685,2023,165288,13.72,INC,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,SHANKAR SUBRAV KHATEDAR,6,S10,Karnataka,1057,2023,165288,0.64,AAP,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,BASAVARAJ NASALAPURE,11,S10,Karnataka,245,2023,165288,0.15,BRP,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,ASHOK NEELAPPA DANDINAVAR,9,S10,Karnataka,291,2023,165288,0.18,IND,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,BASAVANNI PUNDALIK DODDALING,8,S10,Karnataka,320,2023,165288,0.19,IND,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,BHIMSEEN DATTU SANADI,10,S10,Karnataka,288,2023,165288,0.17,IND,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,YAMANAPPA HANAMANTH KUDARI,7,S10,Karnataka,719,2023,165288,0.43,IND,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,SHAMBHU KALLOLIKAR,2,S10,Karnataka,54930,2023,165288,33.23,IND,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
6,Raybag ,NOTA,5,S10,Karnataka,1860,2023,165288,1.13,NOTA,Raibag,Belgaum,Chikkodi,101780,94055,15,Mumbai Karnataka
7,Hukkeri ,A.B.PATIL,2,S10,Karnataka,61023,2023,167903,36.34,INC,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
7,Hukkeri ,KATTI NIKHIL UMESH,1,S10,Karnataka,103574,2023,167903,61.69,BJP,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
7,Hukkeri ,KAMBLE BASAVARAJ KADAPPA,5,S10,Karnataka,624,2023,167903,0.37,BSP,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
7,Hukkeri ,BASAVARAJ MALAGOUDA PATIL,6,S10,Karnataka,401,2023,167903,0.24,JDS,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
