tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***78746,20120101,192,STAND SIGNED TRANSIT STOP,60,0,NR,355 PARKSIDE DR,,,ON
***31670,20120101,5,PARK HWY PROHIBED TIME/DAY,40,1,NR,220 KING ST W,,,ON
***47870,20120101,5,PARK HWY PROHIBED TIME/DAY,40,1,N/S,ELM ST,W/O,ELIZABETH ST,ON
***68489,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,1,N/S,WALTON ST,E/O,BAY ST,ON
***98802,20120101,337,PARK - ON BOULEVARD,50,1,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***85083,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,2,N/S,WALTON ST,E/O,BAY ST,ON
***98803,20120101,337,PARK - ON BOULEVARD,50,2,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***08841,20120101,15,PARK - 3 M OF FIRE HYDRANT,100,2,NR,35 THORNCLIFFE PARK DR,,,NJ
***47871,20120101,5,PARK HWY PROHIBED TIME/DAY,40,3,N/S,ELM ST,E/O,UNIVERSITY AVE,ON
***98804,20120101,337,PARK - ON BOULEVARD,50,3,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***98805,20120101,337,PARK - ON BOULEVARD,50,3,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***99287,20120101,5,PARK HWY PROHIBED TIME/DAY,40,3,NR,968 QUEEN ST W,,,ON
***47872,20120101,5,PARK HWY PROHIBED TIME/DAY,40,4,N/S,ELM ST,E/O,UNIVERSITY AVE,ON
***98806,20120101,337,PARK - ON BOULEVARD,50,4,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***13375,20120101,192,STAND SIGNED TRANSIT STOP,60,4,NR,193 PARKSIDE DR,,,UT
***13376,20120101,192,STAND SIGNED TRANSIT STOP,60,5,NR,193 PARKSIDE DR,,,ON
***13377,20120101,192,STAND SIGNED TRANSIT STOP,60,5,NR,193 PARKSIDE DR,,,ON
***98807,20120101,337,PARK - ON BOULEVARD,50,6,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***68490,20120101,384,STOP VEH OTR THN BCYCL-BYCL LN,60,7,OPP,86 GERRARD ST E,,,ON
***85084,20120101,384,STOP VEH OTR THN BCYCL-BYCL LN,60,8,OPP,86 GERRARD ST E,,,ON
***98808,20120101,337,PARK - ON BOULEVARD,50,8,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***68491,20120101,384,STOP VEH OTR THN BCYCL-BYCL LN,60,9,NR,101 GERRARD ST E,,,GA
***86155,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,9,AT,361 FRONT ST W,,,ON
***98809,20120101,337,PARK - ON BOULEVARD,50,9,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***99288,20120101,5,PARK HWY PROHIBED TIME/DAY,40,9,NR,942 QUEEN ST W,,,ON
***47873,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,10,W/S,ELIZABETH ST,N/O,EDWARD ST,ON
***47874,20120101,5,PARK HWY PROHIBED TIME/DAY,40,12,NR,150 ELIZABETH ST,,,ON
***68492,20120101,192,STAND SIGNED TRANSIT STOP,60,14,W/S,PARLIAMENT ST,S/O,VERNER LANE,ON
***99289,20120101,5,PARK HWY PROHIBED TIME/DAY,40,14,NR,723 QUEEN ST W,,,ON
***47875,20120101,5,PARK HWY PROHIBED TIME/DAY,40,16,OPP,77 ELM ST,,,ON
***47876,20120101,5,PARK HWY PROHIBED TIME/DAY,40,17,OPP,77 ELM ST,,,ON
***86156,20120101,15,PARK 3M OF FIRE HYDRANT,100,20,AT,361 FRONT ST W,,,ON
***99290,20120101,5,PARK HWY PROHIBED TIME/DAY,40,22,NR,801 KING ST W,,,ON
***08842,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,22,AT,177 REDPATH AVE,,,ON
***08843,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,23,AT,177 REDPATH AVE,,,ON
***47877,20120101,15,PARK 3M OF FIRE HYDRANT,100,25,NR,13 ELM ST,,,ON
***99291,20120101,5,PARK HWY PROHIBED TIME/DAY,40,26,NR,901 KING ST W,,,ON
***08844,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,26,AT,200 ROEHAMPTON AVE,,,ON
***08845,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,26,AT,200 ROEHAMPTON AVE,,,ON
***98810,20120101,14,PARK OBSTRUCT DRIVE/LANE,40,28,NR,11 PROTEA GDNS,,,ON
***08846,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,28,AT,200 ROEHAMPTON AVE,,,ON
***08847,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,31,AT,200 ROEHAMPTON AVE,,,ON
***94096,20120101,192,STAND SIGNED TRANSIT STOP,60,37,NR,922 PAPE AVE,,,ON
***99292,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,39,NR,1366 DUNDAS ST W,,,ON
***47878,20120101,369,STAND STR DISABL LDG NO DROPOF,450,41,NR,32 GRENVILLE ST,,,ON
***47879,20120101,369,STAND STR DISABL LDG NO DROPOF,450,43,NR,18 GRENVILLE ST,,,ON
***47880,20120101,5,PARK HWY PROHIBED TIME/DAY,40,47,NR,7 BREADALBANE ST,,,ON
***37886,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,48,AT,735 COLLEGE ST,,,ON
***37887,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,49,AT,735 COLLEGE ST,,,ON
***86157,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,49,AT,37 GROSVENOR ST,,,ON
***08848,20120101,5,PARK HWY PROHIBED TIME/DAY,40,50,E/S,MOUNT PLEASANT RD,S/O,GARFIELD AVE,ON
***54745,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,51,AT,1 SCOTT ST,,,ON
***37888,20120101,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,52,NR,178 BEATRICE ST,,,ON
***44968,20120101,5,PARK HWY PROHIBED TIME/DAY,40,55,OPP,168 SIMCOE ST,,,ON
***47881,20120101,5,PARK HWY PROHIBED TIME/DAY,40,56,NR,27 CARLTON ST,,,ON
***47882,20120101,5,PARK HWY PROHIBED TIME/DAY,40,58,NR,27 CARLTON ST,,,ON
***47883,20120101,5,PARK HWY PROHIBED TIME/DAY,40,59,NR,27 CARLTON ST,,,ON
***44969,20120101,5,PARK HWY PROHIBED TIME/DAY,40,103,NR,100 SIMCOE ST,,,ON
***09737,20120101,356,STAND IN DISABLED NO PERMIT,450,110,AT,11 BRUNEL CT,,,ON
***47884,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,111,OPP,86 GERRARD ST E,,,ON
***86158,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,111,AT,16 YONGE ST,,,ON
***78747,20120101,14,PARK OBSTRUCT DRIVEWAY/LANEWAY,40,112,NR,64 BRAEMORE GDNS,,,ON
***86159,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,112,AT,16 YONGE ST,,,ON
***95260,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,114,Other,794 SHEPPARD AVE,,,ON
***47885,20120101,370,PARK VEHICLE IN CAR-SHARE AREA,60,114,NR,80 GOULD ST,,,TX
***78129,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,114,NR,22 SOHO ST,,,ON
***86160,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,114,AT,16 YONGE ST,,,ON
***86161,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,114,AT,16 YONGE ST,,,ON
***14098,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,116,Other,3131 BRIDLETOWNE CIR,,,ON
***04915,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,116,Other,370 ORTON PARK RD,,,ON
***47886,20120101,5,PARK HWY PROHIBED TIME/DAY,40,117,OPP,84 BOND ST,,,ON
***86162,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,117,AT,16 YONGE ST,,,ON
***14099,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,118,Other,3131 BRIDLETOWNE CIR,,,ON
***44970,20120101,16,PARK 9M OF INTERSCTING HIGHWAY,40,118,W/S,JOHN ST,S/O,STEPHANIE ST,ON
***98811,20120101,15,PARK 3 M OF FIRE HYDRANT,100,119,NR,188 BONIS AVE,,,ON
***14100,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,120,Other,3131 BRIDLETOWNE CIR,,,ON
***86163,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,122,AT,16 YONGE ST,,,ON
***31671,20120101,5,PARK HWY PROHIBED TIME/DAY,40,123,OPP,257 QUEEN ST W,,,ON
***86164,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,123,AT,16 YONGE ST,,,ON
***99293,20120101,367,STAND ON-ST DISABL LDG NO PRMT,450,124,OPP,410 COLLEGE ST,,,ON
***85085,20120101,5,PARK HWY PROHIBED TIME/DAY,40,129,NR,425 CHURCH ST,,,ON
***14773,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,130,AT,225 SHERWAY GARDENS RD,,,ON
***47887,20120101,15,PARK 3M OF FIRE HYDRANT,100,131,W/S,COOPER ST,N/O,QUEENS QUAY E,ON
***14774,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,131,AT,225 SHERWAY GARDENS RD,,,QC
***13378,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,134,AT,15 WINDERMERE AVE,,,ON
***68493,20120101,363,PARK ON-STRT DISABLD NO PERMIT,450,136,NR,84 CARLTON ST,,,ON
***78130,20120101,5,PARK HWY PROHIBED TIME/DAY,40,141,NR,369 QUEEN ST W,,,ON
***13379,20120101,192,STAND SIGNED TRANSIT STOP,60,141,NR,91 WINDERMERE AVE,,,ON
***85086,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,144,NR,80 CARLTON ST,,,ON
***98812,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,146,AT,135 FENELON DR,,,ON
***48074,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,156,OPP,10 LOWER JARVIS ST,,,ON
***14277,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,203,Other,5940 YONGE ST,,,ON
***78748,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,203,NR,2460 WESTON RD,,,ON
***13380,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,204,AT,2460 WESTON RD,,,ON
***54746,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,205,NR,191 SHERBOURNE ST,,,ON
***54747,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,205,NR,191 SHERBOURNE ST,,,ON
***78749,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,205,NR,2460 WESTON RD,,,ON
***31672,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,206,OPP,224 RICHMOND ST W,,,ON
***94097,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,206,NR,1392 GERRARD ST E,,,ON
***49284,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,206,NR,298 RICHMOND ST W,,,ON
***78131,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,206,NR,208 ADELAIDE ST W,,,ON
***13381,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,206,AT,2460 WESTON RD,,,ON
***23500,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,206,NR,2460 WESTON RD,,,ON
***23501,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,206,NR,2460 WESTON RD,,,ON
***44971,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,207,NR,208 ADELAIDE ST W,,,ON
***66328,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,208,OPP,224 RICHMOND ST W,,,ON
***23502,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,208,NR,2460 WESTON RD,,,ON
***23503,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,208,NR,2460 WESTON RD,,,ON
***66329,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,209,OPP,224 RICHMOND ST W,,,NB
***44972,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,209,NR,208 ADELAIDE ST W,,,ON
***66330,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,210,OPP,224 RICHMOND ST W,,,QC
***98813,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,210,AT,2360 BIRCHMOUNT RD,,,ON
***98814,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,211,AT,2360 BIRCHMOUNT RD,,,ON
***31673,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,212,OPP,260 RICHMOND ST W,,,ON
***98815,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,212,AT,2360 BIRCHMOUNT RD,,,ON
***66331,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,213,OPP,260 RICHMOND ST W,,,ON
***98816,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,213,AT,2360 BIRCHMOUNT RD,,,IL
***98817,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,214,AT,2360 BIRCHMOUNT RD,,,ON
***98818,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,214,AT,2360 BIRCHMOUNT RD,,,ON
***14278,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,215,Other,5940 YONGE ST,,,ON
***14279,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,217,Other,5940 YONGE ST,,,ON
***98819,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,218,AT,2360 BIRCHMOUNT RD,,,ON
***98820,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,219,AT,2360 BIRCHMOUNT RD,,,ON
***54748,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,226,AT,120 HOMEWOOD AVE,,,ON
***44973,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,227,NR,360 ADELAIDE ST W,,,NY
***78132,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,227,NR,360 ADELAIDE ST W,,,ON
***86165,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,232,AT,10 NAVY WHARF CRT,,,ON
***86166,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,234,AT,35 MARINER TER,,,ON
***09738,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,235,AT,2 KENDAL AV,,,ON
***21506,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,236,Other,40 FALSTAFF AVE,,,ON
***86167,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,236,AT,35 MARINER TER,,,ON
***98821,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,238,AT,200 BRENYON WAY,,,ON
***86644,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,240,Other,2560 KINGSTON RD,,,ON
***94098,20120101,192,STAND SIGNED TRANSIT STOP,60,241,NR,439 BROADVIEW AVE,,,ON
***66332,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,244,NR,176 JOHN ST,,,ON
***57409,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,244,AT,33 SHEPPARD AVE E,,,ON
***88807,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,245,Other,230 KING ST E,,,ON
***21507,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,252,Other,18 DRIFTWOOD AVE,,,ON
***31674,20120101,15,PARK 3M OF FIRE HYDRANT,100,253,OPP,234 SIMCOE ST,,,ON
***14280,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,300,Other,65 GEORGE APPLETONWAY,,,ON
***95261,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,300,Other,107 PARKWAY FOREST DR,,,ON
***14281,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,302,Other,65 GEORGE APPLETON WAY,,,ON
***95262,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,303,Other,107 PARKWAY FOREST DR,,,ON
***68494,20120101,363,PARK ON-STRT DISABLD NO PERMIT,450,303,S/S,DUNDAS ST E,W/O,ASHDALE AVE,ON
***14282,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,304,Other,65 GEORGE APPLETON WAY,,,ON
***14283,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,306,Other,65 GEORGE APPLETON WAY,,,ON
***95263,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,306,Other,107 PARKWAY FOREST DR,,,ON
***14284,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,308,Other,65 GEORGE APPLETON WAY,,,ON
***98822,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,308,AT,3380 EGLINTON AVE E,,,ON
***95264,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,309,Other,107 PARKWAY FOREST DR,,,ON
***98823,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,309,AT,3380 EGLINTON AVE E,,,ON
***40304,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,310,Other,155 MARLEE,,,ON
***94099,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,310,AT,88 CORPORATE DR,,,ON
***95265,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,311,Other,107 PARKWAY FOREST DR,,,ON
***94100,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,311,AT,88 CORPORATE DR,,,ON
***98824,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,311,AT,3380 EGLINTON AVE E,,,ON
***94101,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,312,AT,88 CORPORATE DR,,,ON
***14285,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,314,Other,65 GEORGE APPLETON WAY,,,ON
***95266,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,315,Other,107 PARKWAY FOREST DR,,,VA
***94102,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,315,AT,88 CORPORATE DR,,,ON
***68495,20120101,363,PARK ON-STRT DISABLD NO PERMIT,450,315,NR,224 COSBURN AVE,,,SK
***14286,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,316,Other,65 GEORGE APPLETON WAY,,,AZ
***94103,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,318,AT,88 CORPORATE DR,,,ON
***14287,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,319,Other,65 GEORGE APPLETON WAY,,,ON
***94104,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,319,AT,88 CORPORATE DR,,,ON
***94105,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,320,AT,88 CORPORATE DR,,,ON
***14288,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,321,Other,65 GEORGE APPLETON WAY,,,ON
***94106,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,321,AT,88 CORPORATE DR,,,ON
***94107,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,322,AT,88 CORPORATE DR,,,ON
***92333,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,325,AT,4645 JANE ST,,,ON
***92334,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,326,AT,4645 JANE ST,,,ON
***92335,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,327,AT,4645 JANE ST,,,ON
***92336,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,328,AT,4673 JANE ST,,,ON
***92337,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,328,AT,4673 JANE ST,,,ON
***31675,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,329,NR,40 PHOEBE ST,,,ON
***66333,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,329,NR,40 PHOEBE ST,,,ON
***92338,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,329,AT,4673 JANE ST,,,ON
***31676,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,330,NR,40 PHOEBE ST,,,ON
***92339,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,330,AT,4673 JANE ST,,,ON
***57410,20120101,14,PARK OBSTRUCT DRIVEWAY/LANEWAY,40,330,AT,6347 YONGE ST,,,ON
***66334,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,331,NR,30 PHOEBE ST,,,ON
***92340,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,331,AT,4673 JANE ST,,,ON
***92341,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,331,AT,4673 JANE ST,,,ON
***94108,20120101,8,STAND VEH HWY PRO TIMES/DAYS,60,332,NR,78 CORPORATE DR,,,ON
***92342,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,332,AT,4673 JANE ST,,,ON
***92343,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,333,AT,4689 JANE ST,,,ON
***94109,20120101,8,STAND VEH HWY PRO TIMES/DAYS,60,334,NR,80 CORPORATE DR,,,ON
***92344,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,334,AT,4689 JANE ST,,,ON
***66335,20120101,5,PARK HWY PROHIBED TIME/DAY,40,335,NR,50 STEPHANIE ST,,,ON
***37889,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,343,NR,1242 DUFFERIN ST,,,ON
***99294,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,347,AT,628 FLEET ST,,,NY
***57411,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,348,AT,8 HILLCREST AVE,,,ON
***57412,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,350,AT,8 HILLCREST AVE,,,ON
***99295,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,350,AT,628 FLEET ST,,,QC
***54749,20120101,192,STAND SIGNED TRANSIT STOP,60,351,NR,189 CARLTON ST,,,ON
***37890,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,352,NR,657 BLOOR ST W,,,ON
***37891,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,352,NR,665 BLOOR ST W,,,ON
***13382,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,352,AT,15 WINDERMERE AVE,,,ON
***13383,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,353,AT,15 WINDERMERE AVE,,,ON
***99296,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,354,AT,628 FLEET ST,,,ON
***13384,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,354,AT,15 WINDERMERE AVE,,,ON
***13385,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,355,AT,15 WINDERMERE AVE,,,ON
***13386,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,357,AT,15 WINDERMERE AVE,,,ON
***13387,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,357,AT,15 WINDERMERE AVE,,,ON
***91250,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,359,AT,21 CARLTON ST,,,ON
***98825,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,359,AT,75 SILVER SPRINGS BLVD,,,ON
***13388,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,359,AT,15 WINDERMERE AVE,,,ON
***57413,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,400,AT,18 SPRING GARDEN AVE,,,ON
***13389,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,400,AT,15 WINDERMERE AVE,,,ON
***13390,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,401,AT,15 WINDERMERE AVE,,,ON
***37892,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,402,NR,1022 DUNDAS ST W,,,ON
***99297,20120101,5,PARK HWY PROHIBED TIME/DAY,40,402,NR,90 STADIUM RD,,,ON
***13391,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,402,AT,15 WINDERMERE AVE,,,ON
***98826,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,403,AT,75 SILVER SPRINGS BLVD,,,ON
***13392,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,403,AT,15 WINDERMERE AVE,,,ON
***99298,20120101,5,PARK HWY PROHIBED TIME/DAY,40,404,NR,90 STADIUM RD,,,ON
***13393,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,404,AT,15 WINDERMERE AVE,,,ON
***95267,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,410,Other,18 WELSFORD GDNS,,,ON
***99299,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,415,AT,38 DAN LECKIE WAY,,,ON
***99300,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,416,AT,38 DAN LECKIE WAY,,,ON
***99301,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,417,AT,38 DAN LECKIE WAY,,,ON
***99302,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,418,AT,38 DAN LECKIE WAY,,,ON
***95268,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,419,Other,250 CASSANDRA BLVD,,,ON
***99303,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,419,AT,38 DAN LECKIE WAY,,,ON
***99304,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,420,AT,38 DAN LECKIE WAY,,,ON
***99305,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,421,AT,38 DAN LECKIE WAY,,,ON
***98827,20120101,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,422,NR,25 DURNESS AVE,,,ON
***99306,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,422,AT,38 DAN LECKIE WAY,,,ON
***99307,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,422,AT,38 DAN LECKIE WAY,,,ON
***29757,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,425,Other,2240 WESTON RD,,,ON
***29758,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,425,Other,2240 WESTON RD,,,ON
***95269,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,425,Other,250 CASSANDRA BLVD,,,ON
***95270,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,430,Other,250 CASSANDRA BLVD,,,ON
***94110,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,432,NR,197 KINGSTON RD,,,ON
***92345,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,432,AT,18 SAN MARINOWAY,,,ON
***92346,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,432,AT,18 SAN MARINOWAY,,,ON
***92347,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,433,AT,18 SAN MARINOWAY,,,ON
***91251,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,433,AT,123 EGLINTON AVE E,,,ON
***92348,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,434,AT,18 SAN MARINOWAY,,,ON
***92349,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,434,AT,18 SAN MARINOWAY,,,ON
***98828,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,440,AT,17 BARBERRY PL,,,ON
***98829,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,443,AT,17 BARBERRY PL,,,ON
