tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***07406,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,126,NR,125 CONCORD AVE,,,ON
***23305,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,126,NR,21 PIRANDELLO ST,,,ON
***11514,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,127,NR,181 BEECH AVE,,,ON
***23541,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,127,NR,177 DAY AVE,,,ON
***94132,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,128,NR,28 FIRST AVE,,,ON
***28934,20120102,8,STAND SIGN HWY PRO TIMES/DAYS,60,128,NR,1 ALDWYCH AVE,,,ON
***48096,20120102,15,PARK 3M OF FIRE HYDRANT,100,128,OPP,21 ROSECLIFFE AVE,,,ON
***57446,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,128,NR,230 CAMPBELL AVE,,,ON
***07407,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,128,NR,161 CONCORD AVE,,,ON
***48097,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,129,OPP,21 ROSECLIFFE AVE,,,ON
***23306,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,129,NR,46 EAST LIBERTY ST,,,ON
***62234,20120102,192,STAND SIGNED TRANSIT STOP,60,130,NR,193 PARKSIDE DR,,,ON
***62981,20120102,5,PARK-HWY DRNG PROH TIMES/DAYS,40,130,NR,550 DANFORTH AVE,,,ON
***11515,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,130,NR,289 BEECH AVE,,,ON
***23307,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,130,NR,46 EAST LIBERTY ST,,,NY
***30685,20120102,5,PARK HWY PROHIBED TIME/DAY,40,131,NR,116 OXFORD ST,,,ON
***62235,20120102,192,STAND SIGNED TRANSIT STOP,60,131,NR,193 PARKSIDE DR,,,UT
***07408,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,131,NR,235 CONCORD AVE,,,ON
***48098,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,132,NR,12 ROSECLIFFE AVE,,,ON
***62236,20120102,192,STAND SIGNED TRANSIT STOP,60,132,NR,193 PARKSIDE DR,,,ON
***23308,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,132,NR,50 EAST LIBERTY ST,,,ON
***23542,20120102,192,STAND SIGNED TRANSIT STOP,60,132,NR,1329 LANSDOWNE AVE,,,ON
***57447,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,133,NR,177 RANKIN CRES,,,ON
***62982,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,133,NR,995 LOGAN AVE,,,ON
***11516,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,133,NR,67 BALSAM AVE,,,ON
***48099,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,134,NR,240 NORTHCLIFFE BLVD,,,ON
***28935,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,135,NR,57 BOWDEN ST,,,ON
***30686,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,135,NR,13 MAJOR ST,,,ON
***57448,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,135,NR,165 RANKIN CRES,,,ON
***98833,20120102,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,135,NR,14 MONTEZUMA TRL,,,ON
***23543,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,135,NR,967 ST CLARENS AVE,,,ON
***62237,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,136,NR,157 WESTMINSTER AVE,,,ON
***07409,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,136,NR,233 DELAWARE AVE,,,QC
***48100,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,137,OPP,90 CLOVERLAWN AVE,,,ON
***62983,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,137,OPP,1034 LOGAN AVE,,,ON
***23544,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,137,NR,987 ST CLARENS AVE,,,ON
***11517,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,138,NR,1 AVION AVE,,,ON
***46767,20120102,3,PARK/LEAVE ON PRIVATE PROPERTY,30,139,Other,2777 KIPLING AVE,,,ON
***94133,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,139,NR,64 WEST AVE,,,ON
***30687,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,139,NR,35 MAJOR ST,,,ON
***62238,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,139,NR,149 GEOFFREY ST,,,ON
***07410,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,139,NR,331 DELAWARE AVE,,,ON
***11518,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,140,NR,45 GLEN MANOR DR,,,ON
***23309,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,140,NR,103 TYNDALL AVE,,,AB
***07411,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,141,NR,355 DELAWARE AVE,,,ON
***23545,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,141,NR,125 MACKAY AVE,,,ON
***81482,20120102,48,FAIL TO PARK/STOP PAR TO CURB,15,142,S/S,BELL ESTATE RD,E/O,DAIRY DR,ON
***28936,20120102,29,PARK PROHIBITED TIME NO PERMIT,30,142,NR,1 BOWDEN ST,,,ON
