NAME,VOTES,ST_NAME,AC_NAME,ST_CD,AC_NO,#,YEAR,PARTY
SACHIN KUMAR,156,Punjab,Rupnagar ,S19,50,8.0,2017,IND
None of the Above,594,Punjab,Rupnagar ,S19,50,6.0,2017,NOTA
CHARANJIT SINGH CHANNI,24020,Punjab,Chamkaur Sahib,S19,51,1.0,2017,INC
CHARANJIT SINGH,19474,Punjab,Chamkaur Sahib,S19,51,2.0,2017,AAP
JUSTICE NIRMAL SINGH,12270,Punjab,Chamkaur Sahib,S19,51,3.0,2017,SAD
RAJINDER SINGH,693,Punjab,Chamkaur Sahib,S19,51,4.0,2017,BSP
HARJINDER SINGH,205,Punjab,Chamkaur Sahib,S19,51,6.0,2017,PDP
JAGDISH SINGH,143,Punjab,Chamkaur Sahib,S19,51,7.0,2017,IND
PARMINDER KAUR,115,Punjab,Chamkaur Sahib,S19,51,8.0,2017,APP
SHINDERPAL SINGH,95,Punjab,Chamkaur Sahib,S19,51,9.0,2017,JJJKP
None of the Above,328,Punjab,Chamkaur Sahib,S19,51,5.0,2017,NOTA
RANJIT SINGH GILL,21018,Punjab,Kharar,S19,52,1.0,2017,SAD
JAGMOHAN SINGH KANG,20951,Punjab,Kharar,S19,52,2.0,2017,INC
KANWAR SANDHU,18611,Punjab,Kharar,S19,52,3.0,2017,AAP
HARBHAJAN SINGH,925,Punjab,Kharar,S19,52,4.0,2017,BSP
SUDESH KUMAR,382,Punjab,Kharar,S19,52,6.0,2017,APP
JAGWINDER SINGH,319,Punjab,Kharar,S19,52,7.0,2017,SADASSM
SANJEEV KUMAR,200,Punjab,Kharar,S19,52,8.0,2017,IND
PARAMJIT SINGH PADDA,176,Punjab,Kharar,S19,52,9.0,2017,IND
GURJEET SINGH,136,Punjab,Kharar,S19,52,10.0,2017,PDP
SURJIT SINGH,107,Punjab,Kharar,S19,52,11.0,2017,JJJKP
None of the Above,456,Punjab,Kharar,S19,52,5.0,2017,NOTA
BALBIR SINGH SIDHU,13761,Punjab,S.A.S.Nagar ,S19,53,1.0,2017,INC
TEJINDER PAL SINGH,7821,Punjab,S.A.S.Nagar ,S19,53,2.0,2017,SAD
NARINDER SINGH,6299,Punjab,S.A.S.Nagar ,S19,53,3.0,2017,AAP
SARBJIT SINGH,319,Punjab,S.A.S.Nagar ,S19,53,4.0,2017,BSP
KAMALJOT KAUR,87,Punjab,S.A.S.Nagar ,S19,53,6.0,2017,IND
AMIT SHARMA,84,Punjab,S.A.S.Nagar ,S19,53,7.0,2017,HSS
JASWINDER SINGH,78,Punjab,S.A.S.Nagar ,S19,53,8.0,2017,AITC
BALWINDER SINGH,73,Punjab,S.A.S.Nagar ,S19,53,9.0,2017,DSP
PARNEET SINGH PANDHER,70,Punjab,S.A.S.Nagar ,S19,53,10.0,2017,IND
KULJIT SINGH,51,Punjab,S.A.S.Nagar ,S19,53,11.0,2017,IND
GURKIRPAL SINGH MANN,48,Punjab,S.A.S.Nagar ,S19,53,12.0,2017,PDP
MAHINDER PAL SINGH,46,Punjab,S.A.S.Nagar ,S19,53,13.0,2017,APP
PARAMJIT SINGH PADDA,45,Punjab,S.A.S.Nagar ,S19,53,14.0,2017,IND
KISHOR KUMAR PAL,28,Punjab,S.A.S.Nagar ,S19,53,15.0,2017,BMP
KRISHAN GOPAL SHARMA,20,Punjab,S.A.S.Nagar ,S19,53,16.0,2017,BIRP
None of the Above,182,Punjab,S.A.S.Nagar ,S19,53,5.0,2017,NOTA
GURPREET SINGH,16479,Punjab,Bassi Pathana ,S19,54,1.0,2017,INC
SANTOKH SINGH,16294,Punjab,Bassi Pathana ,S19,54,2.0,2017,AAP
DARBARA SINGH GURU,9968,Punjab,Bassi Pathana ,S19,54,3.0,2017,SAD
DHARAM SINGH,589,Punjab,Bassi Pathana ,S19,54,4.0,2017,SADASSM
MOHINDER SINGH,434,Punjab,Bassi Pathana ,S19,54,5.0,2017,BSP
GURDEEP SINGH,196,Punjab,Bassi Pathana ,S19,54,7.0,2017,IND
HARNEK SINGH DIWANA,122,Punjab,Bassi Pathana ,S19,54,8.0,2017,IND
SAMUNDER SINGH,102,Punjab,Bassi Pathana ,S19,54,9.0,2017,SAKP
MANJINDER SINGH,96,Punjab,Bassi Pathana ,S19,54,10.0,2017,APP
None of the Above,294,Punjab,Bassi Pathana ,S19,54,6.0,2017,NOTA
KULJIT SINGH NAGRA,51031,Punjab,Fatehgarh Sahib,S19,55,1.0,2017,INC
DIDAR SINGH BHATTI,29267,Punjab,Fatehgarh Sahib,S19,55,2.0,2017,SAD
LAKHVIR SINGH RAI,26263,Punjab,Fatehgarh Sahib,S19,55,3.0,2017,AAP
KULDIP SINGH,1315,Punjab,Fatehgarh Sahib,S19,55,4.0,2017,SADASSM
TARLOCHAN SINGH,402,Punjab,Fatehgarh Sahib,S19,55,6.0,2017,APP
None of the Above,701,Punjab,Fatehgarh Sahib,S19,55,5.0,2017,NOTA
RANDEEP SINGH,36765,Punjab,Amloh ,S19,56,1.0,2017,INC
GURPREET SINGH RAJU KHANNA,32123,Punjab,Amloh ,S19,56,2.0,2017,SAD
GURPREET SINGH BHATTI,27650,Punjab,Amloh ,S19,56,3.0,2017,AAP
JAGMEET SINGH SAHOTA,3115,Punjab,Amloh ,S19,56,4.0,2017,IND
LAKHVIR SINGH,1056,Punjab,Amloh ,S19,56,5.0,2017,SADASSM
RAM SINGH,853,Punjab,Amloh ,S19,56,6.0,2017,BSP
NAVAB ALI,393,Punjab,Amloh ,S19,56,8.0,2017,IND
RAJINDER SINGH,326,Punjab,Amloh ,S19,56,9.0,2017,IND
SANJIV KUMAR PILOT,215,Punjab,Amloh ,S19,56,10.0,2017,HSS
GURPREET SINGH BHATTI AMAMPURA,199,Punjab,Amloh ,S19,56,11.0,2017,IND
GURJINDER SINGH,141,Punjab,Amloh ,S19,56,12.0,2017,JJJKP
None of the Above,783,Punjab,Amloh ,S19,56,7.0,2017,NOTA
GURKIRAT SINGH KOTLI,19142,Punjab,Khanna,S19,57,1.0,2017,INC
RANJIT SINGH TALWANDI,14156,Punjab,Khanna,S19,57,2.0,2017,SAD
ANIL DUTT PHALLY,11788,Punjab,Khanna,S19,57,3.0,2017,AAP
SHASHI VARDHAN,564,Punjab,Khanna,S19,57,4.0,2017,BSP
RAJIV VIJAN,209,Punjab,Khanna,S19,57,6.0,2017,SADASSM
VIJAY DIAMOND,168,Punjab,Khanna,S19,57,7.0,2017,APP
CHANDER DEV SINGH,138,Punjab,Khanna,S19,57,8.0,2017,IND
DHARAMJIT SINGH,124,Punjab,Khanna,S19,57,9.0,2017,SPP
BALJIT SINGH SANDHU,91,Punjab,Khanna,S19,57,10.0,2017,RSP
BHUPINDER SINGH,81,Punjab,Khanna,S19,57,11.0,2017,IND
None of the Above,254,Punjab,Khanna,S19,57,5.0,2017,NOTA
AMRIK SINGH DHILLON,15637,Punjab,Samrala,S19,58,1.0,2017,INC
SANTA SINGH UMAIDPUR,10519,Punjab,Samrala,S19,58,2.0,2017,SAD
SARBANS SINGH MANKI,9667,Punjab,Samrala,S19,58,3.0,2017,AAP
SHINGARA SINGH,166,Punjab,Samrala,S19,58,5.0,2017,SADASSM
DALVIR SINGH,162,Punjab,Samrala,S19,58,6.0,2017,BSP
MANOHAR LAL,159,Punjab,Samrala,S19,58,7.0,2017,DPI
DILBAG SINGH,120,Punjab,Samrala,S19,58,8.0,2017,SAKP
BHUPINDER SINGH,102,Punjab,Samrala,S19,58,9.0,2017,APP
ASHWANI KUMAR DHAND,41,Punjab,Samrala,S19,58,10.0,2017,RSP
None of the Above,311,Punjab,Samrala,S19,58,4.0,2017,NOTA
SHARANJIT SINGH DHILLON,16853,Punjab,Sahnewal ,S19,59,1.0,2017,SAD
SATWINDER KAUR BITTI,11252,Punjab,Sahnewal ,S19,59,2.0,2017,INC
HARJOT SINGH BAINS,7492,Punjab,Sahnewal ,S19,59,3.0,2017,AAP
SURINDER KUMAR,634,Punjab,Sahnewal ,S19,59,4.0,2017,BSP
DALIP SINGH,134,Punjab,Sahnewal ,S19,59,6.0,2017,IND
SUSHIL KUMAR,100,Punjab,Sahnewal ,S19,59,7.0,2017,JKNPP
MANBIR SINGH GREWAL,75,Punjab,Sahnewal ,S19,59,8.0,2017,SADASSM
GURDEEP SINGH KAHLON,65,Punjab,Sahnewal ,S19,59,9.0,2017,IND
DALJEET SINGH BAJWA,60,Punjab,Sahnewal ,S19,59,10.0,2017,IND
NAGENDER KUMAR,48,Punjab,Sahnewal ,S19,59,11.0,2017,HSS
RANDHIR SINGH,39,Punjab,Sahnewal ,S19,59,12.0,2017,BSD
JAGVIR SINGH JAGGI,37,Punjab,Sahnewal ,S19,59,13.0,2017,SPP
None of the Above,349,Punjab,Sahnewal ,S19,59,5.0,2017,NOTA
RANJIT SINGH DHILLON,17998,Punjab,Ludhiana East,S19,60,1.0,2017,SAD
SANJEEV TALWAR,15461,Punjab,Ludhiana East,S19,60,2.0,2017,INC
DALJIT SINGH GREWAL (BHOLA),15130,Punjab,Ludhiana East,S19,60,3.0,2017,AAP
GURPREET SINGH,1056,Punjab,Ludhiana East,S19,60,4.0,2017,BSP
JASWANT SINGH CHEEMA,252,Punjab,Ludhiana East,S19,60,6.0,2017,SADASSM
HARDEEP SINGH (BAWA),152,Punjab,Ludhiana East,S19,60,7.0,2017,AITC
RAMESH KUMAR,103,Punjab,Ludhiana East,S19,60,8.0,2017,IND
None of the Above,322,Punjab,Ludhiana East,S19,60,5.0,2017,NOTA
BALVINDER SINGH BAINS,11540,Punjab,Ludhiana South,S19,61,1.0,2017,LIP
HIRA SINGH GABRIA,8992,Punjab,Ludhiana South,S19,61,2.0,2017,SAD
BHUPINDER SINGH SIDHU,8524,Punjab,Ludhiana South,S19,61,3.0,2017,INC
CHARAN SINGH,496,Punjab,Ludhiana South,S19,61,4.0,2017,BSP
SUNDER LAL,232,Punjab,Ludhiana South,S19,61,6.0,2017,IND
KUNVAR RANJAN SINGH,171,Punjab,Ludhiana South,S19,61,7.0,2017,DSP
MANINDER SHARMA,132,Punjab,Ludhiana South,S19,61,8.0,2017,IND
PARMINDER SINGH KUKI,92,Punjab,Ludhiana South,S19,61,9.0,2017,APP
DARSHAN SINGH DABA,60,Punjab,Ludhiana South,S19,61,10.0,2017,JJJKP
None of the Above,357,Punjab,Ludhiana South,S19,61,5.0,2017,NOTA
SIMARJEET SINGH BAINS,14873,Punjab,Atam Nagar,S19,62,1.0,2017,LIP
KAMAL JIT SINGH KARWAL,7469,Punjab,Atam Nagar,S19,62,2.0,2017,INC
GURMEET SINGH KULAR,2945,Punjab,Atam Nagar,S19,62,3.0,2017,SAD
AVTAR SINGH,244,Punjab,Atam Nagar,S19,62,4.0,2017,SAKP
RAVI KUMAR VAID,150,Punjab,Atam Nagar,S19,62,6.0,2017,SWP
RAM KISHOR SHARMA,38,Punjab,Atam Nagar,S19,62,7.0,2017,IND
SHAMSHER SINGH GREWAL,36,Punjab,Atam Nagar,S19,62,8.0,2017,IND
UDHAM SINGH GILL,34,Punjab,Atam Nagar,S19,62,9.0,2017,IND
DEEPAK,29,Punjab,Atam Nagar,S19,62,10.0,2017,NCP
RAJESH KHOKHAR,28,Punjab,Atam Nagar,S19,62,11.0,2017,IND
None of the Above,167,Punjab,Atam Nagar,S19,62,5.0,2017,NOTA
SURINDER KUMAR DAWAR,32023,Punjab,Ludhiana Central,S19,63,1.0,2017,INC
GURDEV SHARMA DEBI,18212,Punjab,Ludhiana Central,S19,63,2.0,2017,BJP
VIPAN SOOD KAKA,17413,Punjab,Ludhiana Central,S19,63,3.0,2017,LIP
SUSHIL KUMAR,518,Punjab,Ludhiana Central,S19,63,5.0,2017,AITC
RAJEEV KUMAR,377,Punjab,Ludhiana Central,S19,63,6.0,2017,DSP
AKHLESH SINGH,253,Punjab,Ludhiana Central,S19,63,7.0,2017,BSP
None of the Above,745,Punjab,Ludhiana Central,S19,63,4.0,2017,NOTA
BHARAT BHUSHAN (ASHU),15525,Punjab,Ludhiana West,S19,64,1.0,2017,INC
KAMAL CHATLY,6890,Punjab,Ludhiana West,S19,64,2.0,2017,BJP
AHBAAB SINGH GREWAL,5774,Punjab,Ludhiana West,S19,64,3.0,2017,AAP
KUNAL,126,Punjab,Ludhiana West,S19,64,5.0,2017,BSP
JAGROOP SINGH KARARA,83,Punjab,Ludhiana West,S19,64,6.0,2017,RPIA
NAVPREET SINGH BEDI,60,Punjab,Ludhiana West,S19,64,7.0,2017,IND
BALDEV RAJ KATNA,59,Punjab,Ludhiana West,S19,64,8.0,2017,IND
ARUN KUMAR,47,Punjab,Ludhiana West,S19,64,9.0,2017,NCP
KRISHAN LAL BABBAR,42,Punjab,Ludhiana West,S19,64,10.0,2017,IND
ARSHDEEP SINGH,32,Punjab,Ludhiana West,S19,64,11.0,2017,IND
BALKAUR SINGH GILL,28,Punjab,Ludhiana West,S19,64,12.0,2017,APP
MANDEEP SINGH DHALIWAL,21,Punjab,Ludhiana West,S19,64,13.0,2017,SWP
RAM KUMAR,19,Punjab,Ludhiana West,S19,64,14.0,2017,LSP
VAID RAM SINGH DEEPAK,16,Punjab,Ludhiana West,S19,64,15.0,2017,BMP
None of the Above,248,Punjab,Ludhiana West,S19,64,4.0,2017,NOTA
RAKESH PANDEY,24421,Punjab,Ludhiana North,S19,65,1.0,2017,INC
PARVEEN BANSAL,24389,Punjab,Ludhiana North,S19,65,2.0,2017,BJP
RANDHIR SINGH SIVIA,13245,Punjab,Ludhiana North,S19,65,3.0,2017,LIP
MADAN LAL BAGGA,5844,Punjab,Ludhiana North,S19,65,4.0,2017,IND
HEM RAJ AGGARWAL,2637,Punjab,Ludhiana North,S19,65,5.0,2017,IND
RAJINDER KUMAR,929,Punjab,Ludhiana North,S19,65,6.0,2017,BSP
JEET SHARMA,199,Punjab,Ludhiana North,S19,65,8.0,2017,JKNPP
PARVEEN DANG,191,Punjab,Ludhiana North,S19,65,9.0,2017,IND
RAKESH JAIN,156,Punjab,Ludhiana North,S19,65,10.0,2017,IND
JOGINDER LAL,128,Punjab,Ludhiana North,S19,65,11.0,2017,BMP
PREM BHUSHAN JAIN,114,Punjab,Ludhiana North,S19,65,12.0,2017,SS
None of the Above,798,Punjab,Ludhiana North,S19,65,7.0,2017,NOTA
JIWAN SINGH SANGOWAL,16842,Punjab,Gill ,S19,66,1.0,2017,AAP
KULDEEP SINGH VAID(BULARA),15845,Punjab,Gill ,S19,66,2.0,2017,INC
DARSHAN SINGH SHIVALIK,11708,Punjab,Gill ,S19,66,3.0,2017,SAD
BIKKER SINGH,434,Punjab,Gill ,S19,66,4.0,2017,BSP
KARTINDER PAL SINGH,199,Punjab,Gill ,S19,66,6.0,2017,IND
DARSHAN SINGH,123,Punjab,Gill ,S19,66,7.0,2017,IND
KULDEEP SINGH,97,Punjab,Gill ,S19,66,8.0,2017,IND
SUKHPREET SINGH,76,Punjab,Gill ,S19,66,9.0,2017,APP
SUNIT,46,Punjab,Gill ,S19,66,10.0,2017,IND
HARBANS SINGH,43,Punjab,Gill ,S19,66,11.0,2017,BMP
None of the Above,364,Punjab,Gill ,S19,66,5.0,2017,NOTA
LAKHVIR SINGH LAKHA,16485,Punjab,Payal ,S19,67,1.0,2017,INC
GURPREET SINGH LAPRAN,10302,Punjab,Payal ,S19,67,2.0,2017,AAP
ISHER SINGH MEHARBAN,8596,Punjab,Payal ,S19,67,3.0,2017,SAD
GURVINDER SINGH,242,Punjab,Payal ,S19,67,4.0,2017,SADASSM
DALBARA SINGH,137,Punjab,Payal ,S19,67,6.0,2017,BSP
KARAN KANGRA,108,Punjab,Payal ,S19,67,7.0,2017,IND
ADVOCATE INDERJIT SINGH,102,Punjab,Payal ,S19,67,8.5,2017,DSP
SANDEEP SINGH,102,Punjab,Payal ,S19,67,8.5,2017,AITC
CAPTAIN RAMPAL SINGH,98,Punjab,Payal ,S19,67,10.0,2017,APP
SAMSER SINGH,67,Punjab,Payal ,S19,67,11.0,2017,IND
JAGTAR SINGH,54,Punjab,Payal ,S19,67,12.0,2017,IND
KULWANT SINGH CHEEMA,49,Punjab,Payal ,S19,67,13.0,2017,NCP
PREM SINGH,40,Punjab,Payal ,S19,67,14.0,2017,IND
None of the Above,193,Punjab,Payal ,S19,67,5.0,2017,NOTA
HARVINDER SINGH PHOOLKA,26825,Punjab,Dakha,S19,68,1.0,2017,AAP
MANPREET SINGH AYALI,24997,Punjab,Dakha,S19,68,2.0,2017,SAD
MAJOR SINGH BHAINI,12040,Punjab,Dakha,S19,68,3.0,2017,INC
TARSEM JODHAN,437,Punjab,Dakha,S19,68,4.0,2017,DSP
JASWINDER SINGH,363,Punjab,Dakha,S19,68,6.0,2017,BSP
MANPREET SINGH AKALI,278,Punjab,Dakha,S19,68,7.0,2017,IND
JOGINDER SINGH,234,Punjab,Dakha,S19,68,8.0,2017,SADASSM
KULWANT SINGH,108,Punjab,Dakha,S19,68,9.0,2017,APP
GURSHARAN SINGH JASSAL,101,Punjab,Dakha,S19,68,10.0,2017,JKNPP
None of the Above,422,Punjab,Dakha,S19,68,5.0,2017,NOTA
JAGTAR SINGH JAGGA HISSOWAL,17232,Punjab,Raikot ,S19,69,1.0,2017,AAP
AMAR SINGH,10906,Punjab,Raikot ,S19,69,2.0,2017,INC
INDER IQBAL SINGH ATWAL,8550,Punjab,Raikot ,S19,69,3.0,2017,SAD
SURINDER SINGH,191,Punjab,Raikot ,S19,69,5.0,2017,BSP
MOTA SINGH,183,Punjab,Raikot ,S19,69,6.0,2017,CPM
SIKANDAR SINGH,159,Punjab,Raikot ,S19,69,7.0,2017,BMP
DALJIT SINGH,86,Punjab,Raikot ,S19,69,8.0,2017,IND
None of the Above,218,Punjab,Raikot ,S19,69,4.0,2017,NOTA
SARAVJIT KAUR MANUKE,17798,Punjab,Jagraon ,S19,70,1.0,2017,AAP
AMARJIT KAUR SAHOKE,11027,Punjab,Jagraon ,S19,70,2.0,2017,SAD
MALKIT SINGH DAKHA,9415,Punjab,Jagraon ,S19,70,3.0,2017,INC
AVTAR SINGH BILLA,373,Punjab,Jagraon ,S19,70,4.0,2017,IND
BALJIT SINGH,255,Punjab,Jagraon ,S19,70,6.0,2017,CPM
SUBEDAR SADHU SINGH TAPPAR,251,Punjab,Jagraon ,S19,70,7.0,2017,BSP
GURMIT SINGH,152,Punjab,Jagraon ,S19,70,8.0,2017,IND
GURMINDER KAUR,135,Punjab,Jagraon ,S19,70,9.0,2017,IND
JASVIR SINGH,116,Punjab,Jagraon ,S19,70,10.0,2017,APP
None of the Above,284,Punjab,Jagraon ,S19,70,5.0,2017,NOTA
MANJIT  SINGH,25404,Punjab,Nihal Singhwala  ,S19,71,1.0,2017,AAP
RAJWINDER  KAUR,12037,Punjab,Nihal Singhwala  ,S19,71,2.0,2017,INC
S.R. KALER,10899,Punjab,Nihal Singhwala  ,S19,71,3.0,2017,SAD
MOHINDER  SINGH,600,Punjab,Nihal Singhwala  ,S19,71,4.0,2017,CPI
KUBDEEP SINGH,334,Punjab,Nihal Singhwala  ,S19,71,5.5,2017,SADASSM
BHARBHUR SINGH,220,Punjab,Nihal Singhwala  ,S19,71,7.0,2017,IND
JARMANJIT SINGH,195,Punjab,Nihal Singhwala  ,S19,71,8.0,2017,DSP
MANJIT KAUR,184,Punjab,Nihal Singhwala  ,S19,71,9.0,2017,IND
KEWAL SINGH,173,Punjab,Nihal Singhwala  ,S19,71,10.0,2017,BSP
KARAM  CHAND,136,Punjab,Nihal Singhwala  ,S19,71,11.0,2017,IND
RANJEET  SINGH,118,Punjab,Nihal Singhwala  ,S19,71,12.0,2017,IND
None of the Above,334,Punjab,Nihal Singhwala  ,S19,71,5.5,2017,NOTA
TIRATH SINGH MAHLA,18612,Punjab,Bhagha Purana,S19,72,1.0,2017,SAD
DARSHAN SINGH BRAR,18415,Punjab,Bhagha Purana,S19,72,2.0,2017,INC
GURBINDER SINGH KANG,18297,Punjab,Bhagha Purana,S19,72,3.0,2017,AAP
PARMINDER SINGH,857,Punjab,Bhagha Purana,S19,72,4.0,2017,IND
MANDER SINGH,365,Punjab,Bhagha Purana,S19,72,6.0,2017,BSP
NIRMAL SINGH,261,Punjab,Bhagha Purana,S19,72,7.0,2017,NAIP
SUKHDEV RAJ,153,Punjab,Bhagha Purana,S19,72,8.0,2017,OP
None of the Above,371,Punjab,Bhagha Purana,S19,72,5.0,2017,NOTA
RAMESH GROVER,22200,Punjab,Moga ,S19,73,1.0,2017,AAP
BARJINDER SINGH MAKHAN BRAR,19010,Punjab,Moga ,S19,73,2.0,2017,SAD
HARJOT KAMAL SINGH,17068,Punjab,Moga ,S19,73,3.0,2017,INC
MANJEET SINGH MAAN,1178,Punjab,Moga ,S19,73,4.0,2017,IND
KULWANT SINGH,450,Punjab,Moga ,S19,73,5.0,2017,BSP
SANDHURA SINGH DAULATPURA,286,Punjab,Moga ,S19,73,7.0,2017,AITC
AMAR KUMAR,199,Punjab,Moga ,S19,73,8.0,2017,SS
REKHA KAPOOR,176,Punjab,Moga ,S19,73,9.0,2017,IND
PARAMJIT,173,Punjab,Moga ,S19,73,10.0,2017,IND
BHUPINDER KAUR,163,Punjab,Moga ,S19,73,11.0,2017,IND
SHRIRAM DANWAL,79,Punjab,Moga ,S19,73,12.0,2017,HSS
JAGTAR SINGH,66,Punjab,Moga ,S19,73,13.0,2017,IND
None of the Above,295,Punjab,Moga ,S19,73,6.0,2017,NOTA
SUKHJIT SINGH,47649,Punjab,Dharamkot ,S19,74,1.0,2017,INC
TOTA SINGH,30477,Punjab,Dharamkot ,S19,74,2.0,2017,SAD
DALJIT SINGH,21493,Punjab,Dharamkot ,S19,74,3.0,2017,AAP
SURAT SINGH,1009,Punjab,Dharamkot ,S19,74,4.0,2017,CPI
BALRAJ SINGH,791,Punjab,Dharamkot ,S19,74,5.0,2017,SADASSM
JAGGA SINGH,336,Punjab,Dharamkot ,S19,74,7.0,2017,BSP
VIKAS,249,Punjab,Dharamkot ,S19,74,8.0,2017,IND
BALJIT SINGH,213,Punjab,Dharamkot ,S19,74,9.0,2017,IKL
SUKHPAL SINGH,192,Punjab,Dharamkot ,S19,74,10.0,2017,APP
GURDEEP SINGH,149,Punjab,Dharamkot ,S19,74,11.0,2017,BMP
MANJIT KAUR,141,Punjab,Dharamkot ,S19,74,12.0,2017,IND
None of the Above,744,Punjab,Dharamkot ,S19,74,6.0,2017,NOTA
KULBIR SINGH,31208,Punjab,Zira,S19,75,1.0,2017,INC
HARI SINGH ZIRA,24927,Punjab,Zira,S19,75,2.0,2017,SAD
GURPREET SINGH,15310,Punjab,Zira,S19,75,3.0,2017,AAP
SUKHWINDER SINGH,292,Punjab,Zira,S19,75,5.5,2017,BSP
STEPHEN BHATTI,292,Punjab,Zira,S19,75,5.5,2017,SS
GURPREET SINGH,252,Punjab,Zira,S19,75,7.0,2017,IND
DHARMINDER SINGH,201,Punjab,Zira,S19,75,8.0,2017,IND
GURPREET SINGH,168,Punjab,Zira,S19,75,9.0,2017,IND
KULBIR SINGH,101,Punjab,Zira,S19,75,10.0,2017,IND
GURPREET SINGH,88,Punjab,Zira,S19,75,11.0,2017,IND
KULBIR SINGH,66,Punjab,Zira,S19,75,12.0,2017,IND
KULBIR SINGH,64,Punjab,Zira,S19,75,13.0,2017,IND
None of the Above,308,Punjab,Zira,S19,75,4.0,2017,NOTA
PARMINDER SINGH PINKI,25942,Punjab,Firozpur City,S19,76,1.0,2017,INC
SUKHPAL SINGH,16037,Punjab,Firozpur City,S19,76,2.0,2017,BJP
NARINDER SINGH,5681,Punjab,Firozpur City,S19,76,3.0,2017,AAP
RAKESH,316,Punjab,Firozpur City,S19,76,5.0,2017,BSP
MUKESH KUMAR,213,Punjab,Firozpur City,S19,76,6.0,2017,SS
RAJINDER,156,Punjab,Firozpur City,S19,76,7.0,2017,IND
TEJINDER SINGH,126,Punjab,Firozpur City,S19,76,8.0,2017,SADASSM
RAJ,119,Punjab,Firozpur City,S19,76,9.0,2017,IND
MOHINDER SINGH,70,Punjab,Firozpur City,S19,76,10.0,2017,IND
KASHMIR SINGH,57,Punjab,Firozpur City,S19,76,11.0,2017,IND
PARMINDER SINGH,55,Punjab,Firozpur City,S19,76,12.0,2017,IND
None of the Above,353,Punjab,Firozpur City,S19,76,4.0,2017,NOTA
SATKAR KAUR,29781,Punjab,Firozpur Rural,S19,77,1.0,2017,INC
JOGINDER SINGH JINDU,19167,Punjab,Firozpur Rural,S19,77,2.0,2017,SAD
MOHAN SINGH PHALLIAN WALA,12298,Punjab,Firozpur Rural,S19,77,3.0,2017,AAP
JOGINDER SINGH,363,Punjab,Firozpur Rural,S19,77,4.0,2017,IND
LAL SINGH SULHANI,272,Punjab,Firozpur Rural,S19,77,6.0,2017,SADASSM
PURAN,260,Punjab,Firozpur Rural,S19,77,7.0,2017,BSP
BADAL SINGH,105,Punjab,Firozpur Rural,S19,77,8.0,2017,SWP
AMARJIT SINGH GHARU,100,Punjab,Firozpur Rural,S19,77,9.0,2017,IND
SAJAN,78,Punjab,Firozpur Rural,S19,77,10.0,2017,IND
SUNNY KUMAR,71,Punjab,Firozpur Rural,S19,77,11.0,2017,IND
None of the Above,343,Punjab,Firozpur Rural,S19,77,5.0,2017,NOTA
GURMEET SINGH SODHI,29764,Punjab,Guru Har Sahai ,S19,78,1.0,2017,INC
VARDEV SINGH,26552,Punjab,Guru Har Sahai ,S19,78,2.0,2017,SAD
MALKIT CHAND,5385,Punjab,Guru Har Sahai ,S19,78,3.0,2017,AAP
GURMUKH SINGH,303,Punjab,Guru Har Sahai ,S19,78,5.0,2017,BSP
IQBAL SINGH,234,Punjab,Guru Har Sahai ,S19,78,6.0,2017,SADASSM
GURMIT SINGH,187,Punjab,Guru Har Sahai ,S19,78,7.0,2017,IND
GURMEET SINGH SODHI,95,Punjab,Guru Har Sahai ,S19,78,8.0,2017,IND
MANOJ KUMAR,93,Punjab,Guru Har Sahai ,S19,78,9.0,2017,IND
GURMIT SINGH,74,Punjab,Guru Har Sahai ,S19,78,10.0,2017,IND
HARBHAJAN SINGH,49,Punjab,Guru Har Sahai ,S19,78,11.0,2017,IKL
SHAM LAL,42,Punjab,Guru Har Sahai ,S19,78,12.0,2017,IND
SWARAN SINGH ALIAS ROCKY,36,Punjab,Guru Har Sahai ,S19,78,13.0,2017,IND
RAJ KUMAR,28,Punjab,Guru Har Sahai ,S19,78,14.0,2017,APP
SANDEEP SINGH,23,Punjab,Guru Har Sahai ,S19,78,15.0,2017,IND
KULWANT SINGH,21,Punjab,Guru Har Sahai ,S19,78,16.0,2017,SPP
None of the Above,324,Punjab,Guru Har Sahai ,S19,78,4.0,2017,NOTA
SUKHBIR SINGH BADAL,24528,Punjab,Jalalabad,S19,79,1.0,2017,SAD
BHAGWANT MANN,14336,Punjab,Jalalabad,S19,79,2.0,2017,AAP
RAVNEET SINGH BITTU,9953,Punjab,Jalalabad,S19,79,3.0,2017,INC
SURINDER SINGH,610,Punjab,Jalalabad,S19,79,4.0,2017,CPI
BALWINDER SINGH,183,Punjab,Jalalabad,S19,79,6.0,2017,IND
MALKIT SINGH,147,Punjab,Jalalabad,S19,79,7.0,2017,BSP
BAKHSHISH SINGH,118,Punjab,Jalalabad,S19,79,8.0,2017,APP
GURMIT SINGH,95,Punjab,Jalalabad,S19,79,9.5,2017,SADASSM
MUKHTIAR SINGH,95,Punjab,Jalalabad,S19,79,9.5,2017,IND
JOGINDER SINGH,55,Punjab,Jalalabad,S19,79,11.0,2017,IND
SWARAN SINGH ROCKY,52,Punjab,Jalalabad,S19,79,12.0,2017,IND
None of the Above,355,Punjab,Jalalabad,S19,79,5.0,2017,NOTA
DAVINDER SINGH GHUBAYA,19086,Punjab,Fazilka,S19,80,1.0,2017,INC
