ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S05,30,JOSE D\'SILVA,1414,Goa,Fatorda,4,2017,23038,6.14,INC
S05,30,D. S. NAIK (DILIP),155,Goa,Fatorda,6,2017,23038,0.67,MG
S05,30,AVIN VISHWANATH NAIK,72,Goa,Fatorda,7,2017,23038,0.31,IND
S05,30,None of the Above,220,Goa,Fatorda,5,2017,23038,0.95,NOTA
S05,31,DIGAMBAR VASANT KAMAT,12105,Goa,Margao,1,2017,22353,54.15,INC
S05,31,SHARMAD RAITURKAR,7929,Goa,Margao,2,2017,22353,35.47,BJP
S05,31,SANTOSH RAITURKAR,1832,Goa,Margao,3,2017,22353,8.2,AAP
S05,31,JAYESH RAGHUNATH NAIK,216,Goa,Margao,5,2017,22353,0.97,MG
S05,31,None of the Above,271,Goa,Margao,4,2017,22353,1.21,NOTA
S05,32,CHURCHILL ALEMAO,9373,Goa,Benaulim,1,2017,21314,43.98,NCP
S05,32,ROYLA CLARINA FERNANDES,4182,Goa,Benaulim,2,2017,21314,19.62,AAP
S05,32,CAETANO ROSARIO SILVA,3995,Goa,Benaulim,3,2017,21314,18.74,IND
S05,32,EDWINO BARRETO,2157,Goa,Benaulim,4,2017,21314,10.12,INC
S05,32,JOHN FERNANDES,571,Goa,Benaulim,5,2017,21314,2.68,GSRP
S05,32,MARIA DA LUZ ARLINDA GOMES E REBELO,492,Goa,Benaulim,6,2017,21314,2.31,GVP
S05,32,JUDITH AURELIA BAPTISTA ALMEIDA ALIAS JUDITH ALMEIDA,357,Goa,Benaulim,7,2017,21314,1.67,IND
S05,32,None of the Above,187,Goa,Benaulim,8,2017,21314,0.88,NOTA
S05,33,LUIZINHO FALEIRO,8183,Goa,Navelim,1,2017,21351,38.33,INC
S05,33,AVERTANO FURTADO,5705,Goa,Navelim,2,2017,21351,26.72,IND
S05,33,EDWIN CARDOZO (CIPRU),3027,Goa,Navelim,3,2017,21351,14.18,IND
S05,33,SATYAVIAJAY NAIK,1798,Goa,Navelim,4,2017,21351,8.42,MG
S05,33,SIDDHARTH KARAPURKAR,1287,Goa,Navelim,5,2017,21351,6.03,AAP
S05,33,CRUZ ANTONIO JORGE BARRETTO,839,Goa,Navelim,6,2017,21351,3.93,GVP
S05,33,DUARTE PIRES,263,Goa,Navelim,7,2017,21351,1.23,IND
S05,33,None of the Above,249,Goa,Navelim,8,2017,21351,1.17,NOTA
S05,34,CLAFASIO DIAS,6415,Goa,Cuncolim ,1,2017,22440,28.59,INC
S05,34,JOAQUIM ALEMAO,6382,Goa,Cuncolim ,2,2017,22440,28.44,IND
