ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S28,63,ASHOK KUMAR,95,Uttarakhand,Kashipur,12,2017,104918,0.09,IND
S28,63,None of the Above,655,Uttarakhand,Kashipur,5,2017,104918,0.62,NOTA
S28,64,YASHPAL ARYA,54965,Uttarakhand,Bajpur,1,2017,104192,52.75,BJP
S28,64,SUNEETA TAMTA,42329,Uttarakhand,Bajpur,2,2017,104192,40.63,INC
S28,64,RAMAVATAR,4511,Uttarakhand,Bajpur,3,2017,104192,4.33,BSP
S28,64,MANISHA,651,Uttarakhand,Bajpur,5,2017,104192,0.62,SP
S28,64,GAUTAM KUMAR,488,Uttarakhand,Bajpur,6,2017,104192,0.47,SHI
S28,64,MADAN SINGH,340,Uttarakhand,Bajpur,7,2017,104192,0.33,IND
S28,64,None of the Above,908,Uttarakhand,Bajpur,4,2017,104192,0.87,NOTA
S28,65,ARVIND PANDEY,41530,Uttarakhand,Gadarpur,1,2017,98060,42.35,BJP
S28,65,RAJENDRA PAL SINGH,27424,Uttarakhand,Gadarpur,2,2017,98060,27.97,INC
S28,65,JARNAIL SINGH (KALI),26115,Uttarakhand,Gadarpur,3,2017,98060,26.63,BSP
S28,65,SHANKAR SINGH NAGARKOTI,835,Uttarakhand,Gadarpur,4,2017,98060,0.85,IND
S28,65,SHAHEROOM,807,Uttarakhand,Gadarpur,5,2017,98060,0.82,SP
S28,65,PARAMJEET KAUR,308,Uttarakhand,Gadarpur,7,2017,98060,0.31,IND
S28,65,ANAND VISHWAS,174,Uttarakhand,Gadarpur,8,2017,98060,0.18,IND
S28,65,KAMLESH,109,Uttarakhand,Gadarpur,9,2017,98060,0.11,IND
S28,65,None of the Above,758,Uttarakhand,Gadarpur,6,2017,98060,0.77,NOTA
S28,66,RAJKUMAR THUKRAL,68754,Uttarakhand,Rudrapur,1,2017,116753,58.89,BJP
S28,66,TILAK RAJ BEHAR,43983,Uttarakhand,Rudrapur,2,2017,116753,37.67,INC
S28,66,JASWANT SINGH,1471,Uttarakhand,Rudrapur,3,2017,116753,1.26,BSP
S28,66,B.D.KANDPAL,427,Uttarakhand,Rudrapur,5,2017,116753,0.37,UKD
S28,66,SANJAY SAHNI,420,Uttarakhand,Rudrapur,6,2017,116753,0.36,IND
S28,66,HIMAN SINGH NEGI,332,Uttarakhand,Rudrapur,7,2017,116753,0.28,IND
S28,66,SURENDRA UPADHYAY,249,Uttarakhand,Rudrapur,8,2017,116753,0.21,IND
S28,66,VINOD KUMAR,188,Uttarakhand,Rudrapur,9,2017,116753,0.16,SP
S28,66,KAILASH CHANDRA,132,Uttarakhand,Rudrapur,10,2017,116753,0.11,IND
S28,66,SURENDRA SINGHAL,107,Uttarakhand,Rudrapur,11,2017,116753,0.09,RLD
S28,66,MANPREET SINGH,94,Uttarakhand,Rudrapur,12,2017,116753,0.08,IND
S28,66,None of the Above,596,Uttarakhand,Rudrapur,4,2017,116753,0.51,NOTA
S28,67,RAJESH SHUKLA,40363,Uttarakhand,Kichha,1,2017,88178,45.77,BJP
S28,67,HARISH RAWAT,38236,Uttarakhand,Kichha,2,2017,88178,43.36,INC
S28,67,RAJESH PRATAP SINGH,7754,Uttarakhand,Kichha,3,2017,88178,8.79,BSP
S28,67,SANJAY SINGH,459,Uttarakhand,Kichha,5,2017,88178,0.52,SP
S28,67,MOHD. JALEES,405,Uttarakhand,Kichha,6,2017,88178,0.46,IND
