#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
2,Siolim,6,Uday Dattaram Paliemkar,INC,9259.0,2012,21635.0,42.8
3,Siolim,6,Rajan Savlo Ghate,SJP(R),352.0,2012,21635.0,1.63
4,Siolim,6,Abhijit Dhargalkar,JMBP,274.0,2012,21635.0,1.27
5,Siolim,6,Ratikant Shankar,IND,254.0,2012,21635.0,1.17
6,Siolim,6,Mukesh Madhukar,SP,66.0,2012,21635.0,0.31
1,Saligao,7,Dilip Parulekar,BJP,10084.0,2012,19409.0,51.96
2,Saligao,7,D'Souza Tulio,IND,4276.0,2012,19409.0,22.03
3,Saligao,7,Suresh V. Parulekar,NCP,1729.0,2012,19409.0,8.91
4,Saligao,7,Francisco Colaco,IND,1192.0,2012,19409.0,6.14
5,Saligao,7,Paul Fernandes,IND,1135.0,2012,19409.0,5.85
6,Saligao,7,Trajano D'Mello,IND,625.0,2012,19409.0,3.22
7,Saligao,7,Gajanan Rama Naik,CPI,166.0,2012,19409.0,0.86
8,Saligao,7,Osbert Manuel D'Cunha,IND,74.0,2012,19409.0,0.38
9,Saligao,7,Alex Camil Rodrigues,IND,65.0,2012,19409.0,0.33
10,Saligao,7,Manoj Anand Sangodkar,AIMF,63.0,2012,19409.0,0.32
1,Calangute,8,Michael Vincent Lobo,BJP,9891.0,2012,18348.0,53.91
2,Calangute,8,Agnelo Nicholas,INC,8022.0,2012,18348.0,43.72
3,Calangute,8,Jose Paul Menino Silveira,IND,240.0,2012,18348.0,1.31
4,Calangute,8,Ashley Francisco Gomes,IND,195.0,2012,18348.0,1.06
1,Porvorim,9,Rohan Khaunte,IND,7972.0,2012,16631.0,47.93
2,Porvorim,9,Govind Parvatkar,BJP,7071.0,2012,16631.0,42.52
3,Porvorim,9,Fermeena P. Khaunte,NCP,1217.0,2012,16631.0,7.32
4,Porvorim,9,Umesh Sukha Narvekar,IND,232.0,2012,16631.0,1.39
5,Porvorim,9,Raju D'Souza,SJP(R),139.0,2012,16631.0,0.84
1,Aldona,10,Ticlo Glenn J V A E Souza,BJP,11315.0,2012,20289.0,55.77
2,Aldona,10,Dayanand G. Narvekar,INC,7839.0,2012,20289.0,38.64
