ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S24,42,None of the Above,1694,Uttar Pradesh,Hasanpur,4,2017,254919,0.66,NOTA
S24,43,JITENDRA PAL SINGH (BILLU),72842,Uttar Pradesh,Siwalkhas,1,2017,225365,32.32,BJP
S24,43,GHULAM MOHAMMAD,61421,Uttar Pradesh,Siwalkhas,2,2017,225365,27.25,SP
S24,43,YASHVEER SINGH,44710,Uttar Pradesh,Siwalkhas,3,2017,225365,19.84,RLD
S24,43,NADEEM AHAMAD URF NADEEM CHAUHAN,42524,Uttar Pradesh,Siwalkhas,4,2017,225365,18.87,BSP
S24,43,DEEPAK RAM,1010,Uttar Pradesh,Siwalkhas,6,2017,225365,0.45,BTSP
S24,43,HARENDRA,592,Uttar Pradesh,Siwalkhas,7,2017,225365,0.26,IND
S24,43,SUBHASH,551,Uttar Pradesh,Siwalkhas,8,2017,225365,0.24,IND
S24,43,WASI MOHAMMAD,342,Uttar Pradesh,Siwalkhas,9,2017,225365,0.15,IND
S24,43,VIKRANT CHOUDHARY,287,Uttar Pradesh,Siwalkhas,10,2017,225365,0.13,IND
S24,43,None of the Above,1086,Uttar Pradesh,Siwalkhas,5,2017,225365,0.48,NOTA
S24,44,SANGEET SINGH SOM,97921,Uttar Pradesh,Sardhana,1,2017,239251,40.93,BJP
S24,44,ATUL PRADHAN,76296,Uttar Pradesh,Sardhana,2,2017,239251,31.89,SP
S24,44,HAFIZ IMRAN YAQOOB,57239,Uttar Pradesh,Sardhana,3,2017,239251,23.92,BSP
S24,44,VAKIL CHAUDHARY,3920,Uttar Pradesh,Sardhana,4,2017,239251,1.64,RLD
S24,44,VASIF ALI,964,Uttar Pradesh,Sardhana,6,2017,239251,0.4,IND
S24,44,VIKAS VERMA,583,Uttar Pradesh,Sardhana,7,2017,239251,0.24,BTSP
S24,44,TARUN KUMAR,433,Uttar Pradesh,Sardhana,8,2017,239251,0.18,BBPP
